
Size	Asmbly	Factor	Solve	Error

500	2	23	1	4.996e-15

1000	3	44	3	5.21805e-15

2000	8	93	5	6.32827e-15

5000	20	239	13	8.43769e-15

10000	45	501	28	1.62093e-14

20000	107	1021	57	2.498e-14

50000	211	2436	175	1.86517e-14

100000	457	4996	286	3.5083e-14

200000	871	9560	556	3.51941e-14

500000	2678	30746	5159	4.37428e-14

1000000	6285	79680	25466	5.04041e-14
