
Size	Asmbly	Factor	Solve	Error

1	129	637	352	7.10543e-15

2	184	1192	347	8.54872e-15

3	291	1704	361	8.32667e-15

4	352	2466	368	1.25455e-14

5	418	3351	428	2.9754e-14

6	597	4560	443	1.66533e-14

7	675	5582	450	2.55351e-14

8	774	7127	492	2.59792e-14

9	822	8389	503	3.4861e-14

10	903	9488	539	3.75255e-14

11	1168	11477	560	3.70814e-14

12	1230	13293	766	4.70735e-14

13	1298	15407	1192	3.39728e-14

14	1366	17927	1973	4.51861e-14

15	1449	20048	2792	8.28226e-14

16	1513	22400	2545	5.86198e-14

17	1634	25077	3333	5.63993e-14

18	1727	28127	4628	7.53841e-14

19	1865	31716	5772	6.77236e-14

20	1950	35212	7746	6.59472e-14
