
Size	Asmbly	Factor	Solve	Error

1	12	68	37	8.88178e-16

2	22	117	34	5.55112e-15

3	26	205	35	1.17406e-14

4	42	252	37	7.10543e-15

5	43	337	41	8.21565e-15

6	49	458	44	8.10463e-15

7	75	556	46	1.28786e-14

8	69	723	55	8.21565e-15

9	76	836	52	1.53211e-14

10	82	948	56	2.06501e-14

11	91	1140	59	2.17604e-14

12	97	1325	62	1.59872e-14

13	136	1504	66	2.90878e-14

14	123	1698	69	1.83742e-14

15	132	2030	71	2.75335e-14

16	138	2137	80	2.68674e-14

17	140	2322	81	3.45279e-14

18	146	2606	87	2.9754e-14

19	169	2789	92	3.53051e-14

20	162	3012	95	4.95159e-14
