
Size	Asmbly	Factor	Solve	Error

500	0	3	0	1.33227e-15

1000	0	4	1	1.55431e-15

2000	1	9	3	1.77636e-15

5000	3	27	7	1.9984e-15

10000	7	52	15	3.21965e-15

20000	20	102	30	3.10862e-15

50000	53	256	80	4.77396e-15

100000	94	523	163	6.88338e-15

200000	188	1016	322	7.43849e-15

500000	562	2548	798	1.22125e-14

1000000	1115	5174	1572	1.5099e-14
