
Size	Asmbly	Factor	Solve	Error

500	0	10	1	2.22045e-15

1000	2	15	2	2.44249e-15

2000	3	39	3	4.44089e-15

5000	9	85	10	5.9952e-15

10000	19	167	20	5.32907e-15

20000	46	333	42	7.10543e-15

50000	109	843	105	1.02141e-14

100000	211	1663	209	1.35447e-14

200000	408	3312	409	2.33147e-14

500000	1304	8367	1042	2.4647e-14

1000000	2668	16856	2150	2.95319e-14
