
Size	Asmbly	Factor	Solve	Error

500	0	1	0	1.33227e-15

1000	0	4	2	1.33227e-15

2000	0	5	3	2.22045e-15

5000	1	14	8	1.77636e-15

10000	3	28	16	2.66454e-15

20000	7	61	30	3.55271e-15

50000	28	156	83	5.32907e-15

100000	52	308	161	7.10543e-15

200000	104	618	327	7.10543e-15

500000	311	1517	773	1.06581e-14

1000000	640	3082	1626	1.42109e-14
