
Size	Asmbly	Factor	Solve	Error

1	33	132	87	1.77636e-15

2	47	261	84	8.21565e-15

3	74	434	97	9.54792e-15

4	90	636	104	9.32587e-15

5	108	853	106	1.57652e-14

6	143	1122	112	1.28786e-14

7	144	1408	118	1.46549e-14

8	162	1788	125	1.85407e-14

9	182	2147	129	2.5091e-14

10	191	2390	146	3.06422e-14

11	268	2903	142	3.86358e-14

12	280	3296	152	3.79696e-14

13	301	3736	157	4.60743e-14

14	313	4323	171	3.59712e-14

15	334	4708	173	3.66374e-14

16	352	5295	186	4.50751e-14

17	371	5860	201	5.14033e-14

18	386	6451	216	6.11733e-14

19	405	7084	224	4.92939e-14

20	422	7592	243	5.66214e-14
