
Size	Asmbly	Factor	Solve	Error

1	7	28	20	8.88178e-16

2	8	64	18	4.44089e-15

3	10	90	17	4.10783e-15

4	19	127	18	4.66294e-15

5	24	166	20	7.32747e-15

6	26	225	21	7.32747e-15

7	37	279	23	1.37668e-14

8	35	356	23	1.07692e-14

9	37	419	24	1.28786e-14

10	41	475	26	1.63203e-14

11	41	576	27	1.80966e-14

12	49	711	28	1.87628e-14

13	67	746	31	1.68754e-14

14	63	843	36	1.63203e-14

15	67	935	33	1.69864e-14

16	70	1049	35	1.9984e-14

17	72	1173	38	2.89768e-14

18	77	1273	44	2.88658e-14

19	85	1382	43	2.5091e-14

20	85	1533	46	2.87548e-14
